Family,n_languages,n_exact_one,share_exact_one,mean_rate,median_n_total,mean_abs_latitude,database,share_of_all_boundary_languages
Timor-Alor-Pantar,33,0,0.0,0.4896346654647067,119.0,8.309940909090908,Lexibank,0.0
Timucua,1,0,0.0,0.9953703703703703,216.0,30.3027,Lexibank,0.0
Tiwi,1,0,0.0,0.9886792452830189,265.0,11.6308,Lexibank,0.0
Tor-Orya,3,0,0.0,0.5950640819020429,254.0,2.4343033333333333,Lexibank,0.0
Totonacan,2,0,0.0,0.422568093385214,173.5,20.5165,Lexibank,0.0
Trumai,3,0,0.0,0.5448442632234681,218.0,11.8119,Lexibank,0.0
Tsimshian,4,0,0.0,0.2057271533519453,235.0,53.22712625,Lexibank,0.0
Tungusic,40,0,0.0,0.7586629204595503,273.5,51.1500714,Lexibank,0.0
Tunica,1,0,0.0,0.9725490196078431,255.0,30.9888,Lexibank,0.0
Turkic,110,0,0.0,0.2990262089248342,262.0,46.08775154545455,Lexibank,0.0
Tuu,1,0,0.0,0.7407407407407407,243.0,24.20022,Lexibank,0.0
Uralic,66,0,0.0,0.44362379480007474,1072.0,60.44439359307273,Lexibank,0.0
Uru-Chipaya,5,0,0.0,0.6522391921843995,263.0,18.167706,Lexibank,0.0
Usku,1,0,0.0,0.9302325581395349,86.0,3.63853,Lexibank,0.0
Wageman,1,0,0.0,0.5185185185185185,216.0,13.8627,Lexibank,0.0
Wakashan,7,0,0.0,0.4733402996507876,176.0,51.035110028571424,Lexibank,0.0
Walioic,2,0,0.0,0.9119277241990911,95.0,4.496835000000001,Lexibank,0.0
Washo,2,0,0.0,0.47575374235715795,233.0,38.8184,Lexibank,0.0
West Bird's Head,7,0,0.0,0.4063142806804824,192.0,1.333952857142857,Lexibank,0.0
West Bomberai,3,0,0.0,0.258767609715459,211.0,3.250246666666667,Lexibank,0.0
Western Daly,1,0,0.0,0.5025380710659898,197.0,13.6754,Lexibank,0.0
